RID	0(b=-0.0946)	Support	Rule
(-1, 45)	-0.0928	0.2583	sepal length (cm) > 5.374 & petal length (cm) > 2.514 & sepal length (cm) <= 6.280 & petal length (cm) <= 5.466
(-1, 1)	0.0121	0.0583	petal length (cm) > 5.450 & sepal length (cm) <= 6.521
(-1, 44)	-0.0910	0.4833	petal length (cm) > 4.367 & sepal width (cm) <= 3.703
(-1, 65)	-0.0588	0.9417	sepal length (cm) > 6.280 | sepal width (cm) <= 3.703
(-1, 9)	0.0865	0.6083	sepal length (cm) <= 6.275 & petal width (cm) <= 1.972
(-1, 8)	-0.0320	0.9000	petal width (cm) > 0.114 & sepal width (cm) <= 3.703
(-1, 19)	-0.0838	0.3750	sepal length (cm) > 6.280 & petal width (cm) > 0.844
(-1, 40)	-0.0319	0.0167	sepal length (cm) > 6.521 & sepal width (cm) <= 2.633
(-1, 86)	0.0778	0.8583	sepal width (cm) > 2.633 | petal width (cm) > 1.972 | petal length (cm) <= 2.514 | petal width (cm) <= 0.844
(-1, 17)	0.0431	0.3250	sepal length (cm) <= 6.521 & petal length (cm) <= 2.514
(-1, 21)	0.0219	0.3250	petal length (cm) <= 2.514
(-1, 26)	0.0744	0.3167	sepal width (cm) > 2.872 & sepal length (cm) <= 6.275 & petal length (cm) <= 2.514
(-1, 46)	0.0326	0.0917	sepal width (cm) > 3.507 & petal length (cm) <= 2.514
(-1, 23)	-0.0700	0.3917	sepal length (cm) > 5.747 & petal length (cm) > 4.367 & petal width (cm) > 0.114 & sepal width (cm) <= 3.209 & petal width (cm) <= 2.434
(-1, 18)	0.0692	0.0500	sepal width (cm) > 3.703 & sepal length (cm) <= 5.747 & petal length (cm) <= 4.221
(-1, 43)	-0.0682	0.0167	petal width (cm) > 2.434 & sepal width (cm) <= 3.703
(-1, 41)	-0.0417	0.3750	sepal length (cm) > 6.280 & petal width (cm) > 0.114
(-1, 101)	0.0618	0.5667	sepal width (cm) > 3.209 | sepal length (cm) <= 5.747 | petal width (cm) <= 0.114
(-1, 35)	-0.0581	0.5167	sepal length (cm) > 5.747
(-1, 22)	0.0095	0.3500	sepal width (cm) > 2.872 & sepal length (cm) <= 5.747
(-1, 32)	-0.0170	0.5083	petal length (cm) > 4.221
(-1, 24)	-0.0155	0.7000	petal width (cm) > 0.102 & sepal width (cm) <= 3.209
(-1, 33)	0.0267	0.2083	sepal width (cm) > 3.209 & sepal length (cm) <= 6.280 & petal length (cm) <= 5.466 & petal width (cm) <= 1.972
(-1, 64)	0.0019	0.5917	sepal length (cm) > 6.521 | sepal width (cm) > 3.507 | petal length (cm) > 4.367
############################################################
