RID	0(b=-0.0946)	1(b=-0.0369)	2(b=-0.0543)	Support	Rule
(-1, 54)	-0.2158	-0.0315	0.1634	0.5000	petal length (cm) > 4.367 | petal width (cm) > 2.434
(-1, 76)	-0.2145	0.1085	0.0236	0.7500	sepal length (cm) > 5.374 | petal width (cm) > 0.844 | sepal width (cm) <= 2.872
(-1, 94)	0.1950	-0.2079	0.1033	0.9500	sepal width (cm) > 3.507 | petal length (cm) > 5.450 | petal width (cm) > 1.972 | sepal length (cm) <= 6.521 | petal length (cm) <= 2.514 | petal width (cm) <= 0.102
(-1, 31)	0.0813	-0.2003	-0.1289	0.2583	sepal length (cm) <= 5.374 & petal length (cm) <= 2.514
(-1, 50)	0.1998	-0.1396	-0.1511	0.7083	sepal width (cm) > 2.872 | petal length (cm) <= 2.514
(-1, 15)	-0.1340	-0.1396	0.1953	0.1583	petal length (cm) > 4.367 & petal width (cm) > 1.972 & sepal width (cm) <= 3.209
(-1, 51)	-0.1919	-0.0828	0.1002	0.5000	petal length (cm) > 4.367
(-1, 97)	0.0904	0.0152	-0.1919	0.8083	sepal width (cm) > 3.507 | petal length (cm) <= 4.367 | petal width (cm) <= 1.972
(-1, 73)	0.1913	-0.0305	-0.1355	0.5333	sepal width (cm) > 3.507 | sepal length (cm) <= 5.374 | petal length (cm) <= 4.367 | petal width (cm) <= 0.844
(-1, 67)	-0.1815	-0.1334	0.1519	0.5083	petal length (cm) > 4.221 | petal width (cm) > 1.972
(-1, 69)	-0.1812	0.1260	0.1146	0.7500	sepal length (cm) > 5.374 | petal length (cm) > 2.514 | petal width (cm) > 2.434 | sepal width (cm) <= 2.872
(-1, 78)	0.1773	-0.1591	-0.0206	0.3833	sepal width (cm) > 3.703 | sepal length (cm) <= 5.374 | petal length (cm) <= 2.514
(-1, 100)	-0.1250	-0.0212	0.1743	0.4583	petal length (cm) > 5.466 | sepal width (cm) <= 2.872
(-1, 47)	-0.0667	0.1697	-0.1056	0.1750	petal length (cm) > 2.514 & petal width (cm) > 0.844 & sepal width (cm) <= 3.507 & petal length (cm) <= 4.367
(-1, 87)	-0.1364	-0.1684	0.1176	0.2750	petal length (cm) > 5.450 | petal width (cm) > 1.972
(-1, 104)	0.1566	-0.0552	-0.1674	0.4917	sepal length (cm) <= 5.747 | petal length (cm) <= 2.514 | petal width (cm) <= 0.844
(-1, 28)	0.1356	-0.1618	-0.0871	0.3167	sepal width (cm) > 2.872 & sepal length (cm) <= 6.521 & petal length (cm) <= 2.514
(-1, 37)	-0.1579	-0.1212	0.1008	0.2083	petal length (cm) > 5.450
(-1, 2)	-0.0000	-0.0334	0.1577	0.2167	petal width (cm) > 1.972
(-1, 62)	-0.1557	0.0900	-0.0032	0.7417	sepal length (cm) > 5.374 | petal length (cm) > 2.514 | petal width (cm) > 0.844
(-1, 90)	-0.0089	0.1556	-0.0537	0.7917	petal length (cm) <= 5.466
(-1, 92)	-0.1546	0.0435	0.0876	0.6750	petal length (cm) > 2.514 | petal width (cm) > 0.844
(-1, 11)	0.1539	-0.0860	-0.0073	0.0917	sepal width (cm) > 3.507 & sepal length (cm) <= 6.521
(-1, 39)	0.0156	-0.1531	0.1228	0.0750	petal width (cm) > 1.972 & sepal length (cm) <= 6.521
(-1, 59)	0.1294	0.1319	-0.1527	0.8583	sepal width (cm) > 2.872 | sepal length (cm) <= 5.747 | petal length (cm) <= 4.221
(-1, 82)	-0.1514	-0.0182	0.0878	0.9667	sepal length (cm) > 5.374 | petal length (cm) > 5.466 | petal width (cm) > 0.114 | sepal width (cm) <= 2.872
(-1, 29)	0.0030	0.1508	-0.0965	0.4250	sepal length (cm) > 5.374 & petal length (cm) > 2.514 & sepal width (cm) <= 3.703 & petal length (cm) <= 5.450
(-1, 91)	0.0290	0.1061	-0.1428	0.8417	sepal width (cm) > 3.209 | petal length (cm) <= 5.450
(-1, 42)	0.1422	-0.1278	-0.1010	0.2500	sepal width (cm) > 2.872 & sepal length (cm) <= 5.374 & petal length (cm) <= 2.514
(-1, 49)	0.1405	-0.1404	-0.0639	0.3083	sepal width (cm) > 2.872 & sepal length (cm) <= 5.747 & petal width (cm) <= 0.844
(-1, 68)	0.0254	0.0477	-0.1358	0.8333	sepal width (cm) > 2.872 | petal length (cm) <= 4.367 | petal width (cm) <= 0.102
(-1, 7)	-0.1103	0.1349	-0.0152	0.3583	sepal length (cm) > 5.374 & petal width (cm) > 0.844 & petal length (cm) <= 5.466 & petal width (cm) <= 1.972
(-1, 80)	0.1310	-0.1098	0.0172	0.3667	sepal length (cm) <= 5.374 | petal width (cm) <= 0.844
